County,3/24/20,03/25/20
Alameda,2,2
Amador,0,0
Butte,0,0
Calaveras,0,0
Contra Costa,1,1
El Dorado,0,0
Fresno,0,0
Humboldt,0,0
Imperial,0,0
Inyo,0,0
Kern,0,0
Los Angeles,11,13
Madera,0,0
Marin,0,0
Mendocino,0,0
Merced,0,0
Mono,0,0
Monterey,0,1
Napa,0,0
Nevada,0,0
Orange,0,1
Placer,1,1
Riverside,6,8
Sacramento,4,5
San Benito,1,1
San Bernardino,0,2
San Diego,2,2
San Francisco,1,1
San Joaquin,2,3
San Luis Obispo,0,0
San Mateo,1,5
Santa Barbara,0,0
Santa Clara,16,17
Santa Cruz,0,0
Shasta,0,1
Siskiyou,0,0
Solano,0,0
Sonoma,1,1
Stanislaus,0,0
Sutter,0,0
Tulare,0,0
Ventura,1,1
Yolo,1,1
Yuba,0,0
